Species,Treatment,SpxTr,Week,SpxTrxWk,ID,HL,FL,IL,CL,OL,IL_res,CL_res,OL_res,,COUPLER LINK,Maylandia,pvalue t.test,Tropheops,pvalue t.test,Labeotropheus,pvalue t.test,,,Coupler Link,Slope,,Y-intercept,,,,,,,,,,,
Maylandia,Benthic,May_B,1wk,May_B1,1,2112.888,1742.628,1340.181,1338.54,144.347,2.508679778,17.98025322,-10.88707596,,,wk1,0.8589,wk1,0.9903,wk1,0.5727,,,,Benthic,Pelagic,Benthic,Pelagic,,Slopes,Coupler Link,,Output Link,,Input Link,,Fixed Link,
Maylandia,Benthic,May_B,1wk,May_B1,2,2053.175,1619.413,1272.871,1330.435,140.812,-24.25124948,51.82389211,-9.17293976,,,wk2,0.2413,wk2,0.9303,wk2,0.04685,,,Labeotropheus,0.6074,0.603,-55.231,-51.58,,,Benthic,Pelagic,Benthic,Pelagic,Benthic,Pelagic,Benthic,Pelagic
Maylandia,Benthic,May_B,1wk,May_B1,3,2009.706,1600.461,1164.027,1262.014,148.297,-103.5761996,13.94005125,2.133249958,,,wk4,0.2766,wk4,0.5053,wk4,0.02601,,,Tropheops,0.6092,0.6369,-30.025,-89.162,,Labeotropheus,0.6074,0.603,0.0756,0.0315,0.681,0.62,0.709,0.717
Maylandia,Benthic,May_B,1wk,May_B1,4,2011.316,1612.759,1140.151,1306.3,138.058,-128.5455229,57.09501934,-8.247278843,,,wk8,0.04212,wk8,0.3746,wk8,0.513,,,Maylandia,0.6289,0.7814,35.695,-251.95,,Tropheops,0.6092,0.6369,0.0668,0.0657,0.587,0.668,0.815,0.814
Maylandia,Benthic,May_B,1wk,May_B1,5,1889.804,1528.844,1207.207,1228.041,133.462,21.02718529,64.19872107,-2.161634337,,,,,,,,,,,,,,,,,Maylandia,0.6289,0.7814,0.0786,0.1326,0.761,0.761,0.747,0.839
Maylandia,Benthic,May_B,1wk,May_B1,6,2016.978,1593.809,1224.204,1379.171,189.061,-48.33748967,125.98844,42.25799689,,Slopes (pvalue),,May:Tro,May:Lab,Tro:Lab,,,,,Output Link,Slope,,Y-intercept,,,,,,,,,,,
Maylandia,Benthic,May_B,1wk,May_B1,7,2022.044,1562.122,1179.288,1248.41,138.924,-96.69372309,-8.331446722,-8.32433535,,,Pelagic,0.0036,0.002,0.7669,,,,,,Benthic,Pelagic,Benthic,Pelagic,,,,,,,,,,
Maylandia,Pelagic,May_P,1wk,May_P1,1,2213.045,1778.355,1347.902,1374.409,165.469,-57.78521539,-16.51146931,1.430514028,,,Benthic,0.8837,0.8475,0.9987,,,,,Labeotropheus,0.0756,0.0315,-26.909,47.119,,Interactions,Coupler Link,,Output Link,,Input Link,,Fixed Link,
Maylandia,Pelagic,May_P,1wk,May_P1,2,2085.662,1676.577,1270.102,1376.176,167.726,-49.08161213,74.74263512,14.88525517,,,,Maylandia,Tropheops,Labeotropheus,,,,,Tropheops,0.0668,0.0657,12.21,5.7334,,,Benthic,Pelagic,Benthic,Pelagic,Benthic,Pelagic,Benthic,Pelagic
Maylandia,Pelagic,May_P,1wk,May_P1,3,1562.442,1268.047,940.691,1012.373,90.796,-23.18291385,78.50393165,-16.05052171,,,Ben:Pel,0.0074,N/S,N/S,,,,,Maylandia,0.0786,0.1326,-0.9529,-125.33,,Labeo:Troph,0.9987,0.7669,0.86,0.2124,0.1301,0.017,0.0008,0.0184
Maylandia,Pelagic,May_P,1wk,May_P1,4,1728.714,1414.621,1082.194,1166.885,125.634,5.407632208,116.2091377,4.171157301,,,,,,,,,,,,,,,,,Labeo:May,0.8475,0.002,0.9849,1.00E-04,0.093,0.625,0.4209,0.0031
Maylandia,Pelagic,May_P,1wk,May_P1,5,1896.325,1561.333,1184.841,1232.131,106.283,-5.767113596,63.70769057,-29.91386993,,,,,,,,,,,Input Link,Slope,,Y-intercept,,,May:Troph,0.8837,0.0036,0.8157,0.001,0.0013,0.0954,0.0891,0.695
Maylandia,Pelagic,May_P,1wk,May_P1,6,1988.447,1612.92,1216.278,1180.042,120.416,-36.88857854,-53.09740997,-23.87895453,,,,,,,,,,,,Benthic,Pelagic,Benthic,Pelagic,,,,,,,,,,
Maylandia,Pelagic,May_P,1wk,May_P1,7,1853.973,1463.218,1072.42,1162.208,112.018,-89.4275992,23.53715242,-20.45587131,,OUTPUT LINK Plasticity,Maylandia,pvalue t.test,Tropheops,pvalue t.test,Labeotropheus,pvalue t.test,,,Labeotropheus,0.681,0.62,,,,,,,,,,,,
Tropheops,Benthic,Tro_B,1wk,Tro_B1,1,1756.821,1349.305,1081.114,1030.008,138.101,-14.75934782,-40.41315045,14.1673809,,,wk1,0.2808,wk1,0.6681,wk1,0.4606,,,Tropheops,0.587,0.668,,,,,,,,,,,,
Tropheops,Benthic,Tro_B,1wk,Tro_B1,2,1760.251,1353.793,1090.968,1044.048,116.43,-7.234601795,-28.78274017,-7.805136981,,,wk2,0.02144,wk2,0.3232,wk2,0.6259,,,Maylandia,0.761,0.761,,,,,,,,,,,,
Tropheops,Benthic,Tro_B,1wk,Tro_B1,3,1966.758,1517.073,1279.945,1125.296,118.962,41.50704813,-92.60679434,-23.4263594,,,wk4,0.2776,wk4,0.2846,wk4,0.8442,,,,,,,,,,,,,,,,,
Tropheops,Benthic,Tro_B,1wk,Tro_B1,4,2157.213,1654.553,1387.677,1278.757,156.051,19.90433503,-72.94124959,-3.079513294,,,wk8,0.49,wk8,0.04914,wk8,0.1055,,,Fixed link,Slope,,Y-intercept,,,,,,,,,,,
Tropheops,Benthic,Tro_B,1wk,Tro_B1,5,2176.619,1697.175,1441.617,1294.187,162.308,60.66605438,-71.14404791,1.471581172,,,,,,,,,,,,Benthic,Pelagic,Benthic,Pelagic,,,,,,,,,,
Tropheops,Benthic,Tro_B,1wk,Tro_B1,6,1775.153,1364.15,1126.703,1065.805,129.259,18.38070644,-17.49445916,3.713886503,,Slopes (pvalue),,May:Tro,May:Lab,Tro:Lab,,,,,Labeotropheus,0.709,0.717,,,,,,,,,,,,
Tropheops,Benthic,Tro_B,1wk,Tro_B1,7,1724.581,1315.485,1087.443,1023.132,126.396,13.46328139,-24.64041202,5.296473161,,,Pelagic,0.001,1.00E-04,0.2124,,,,,Tropheops,0.815,0.814,,,,,,,,,,,,
Tropheops,Pelagic,Tro_P,1wk,Tro_P1,1,1411.984,1068.234,849.35,808.975,112.178,-12.35047517,-19.19667733,18.5576524,,,Benthic,0.8157,0.9849,0.86,,,,,Maylandia,0.747,0.839,,,,,,,,,,,,
Tropheops,Pelagic,Tro_P,1wk,Tro_P1,2,1916.006,1467.114,1268.55,1118.302,153.31,64.57685798,-63.94729643,15.38305036,,,,Maylandia,Tropheops,Labeotropheus,,,,,,,,,,,,,,,,,,,
Tropheops,Pelagic,Tro_P,1wk,Tro_P1,3,1979.208,1547.966,1281.569,1155.358,129.259,34.67646738,-71.2909728,-14.22379019,,,Ben:Pel,0.0078,N/S,0.0616,,,,,,,,,,,,,,,,,,,
Tropheops,Pelagic,Tro_P,1wk,Tro_P1,4,1873.437,1437.238,1174.615,1076.602,134.937,-0.450266659,-75.74239115,0.752124598,,,,,,,,,,,,,,,,,,,,,,,,,
Tropheops,Pelagic,Tro_P,1wk,Tro_P1,5,1461.709,1089.229,869.742,863.567,98.955,-25.72586699,0.463296663,0.963522199,,INPUT LINK,,,,,,,,,,,,,,,,,,,,,,,
Tropheops,Pelagic,Tro_P,1wk,Tro_P1,6,1953.755,1500.946,1245.961,1145.469,144.014,16.35316167,-63.29913101,2.768683461,,Slopes (pvalue),,May:Tro,May:Lab,Tro:Lab,,,,,,,,,,,,,,,,,,,
Tropheops,Pelagic,Tro_P,1wk,Tro_P1,7,1776.119,1347.746,1118.377,1048.122,119.883,9.398712466,-35.8560783,-5.747030777,,,Pelagic,0.0954,0.625,0.017,,,,,,,,,,,,,,,,,,,
Tropheops,Pelagic,Tro_P,1wk,Tro_P1,8,1868.572,1421.488,1160.669,1086.471,136.821,-11.09252888,-62.45570777,3.063787714,,,Benthic,0.0013,0.093,0.1301,,,,,,,,,,,,,,,,,,,
Tropheops,Pelagic,Tro_P,1wk,Tro_P1,9,1870.027,1458.64,1200.666,1092.264,122.784,27.91640566,-57.68485151,-11.10111564,,,,Maylandia,Tropheops,Labeotropheus,,,,,,,,,,,,,,,,,,,
Maylandia,Benthic,May_B,2wk,May_B2,8,2158.068,1723.537,1394.648,1421.724,175.111,26.29471925,69.42510924,15.905327,,,Ben:Pel,N/S,N/S,N/S,,,,,,,,,,,,,,,,,,,
Maylandia,Benthic,May_B,2wk,May_B2,9,1915.763,1556.72,1221.835,1259.354,141.718,18.0268751,77.27541211,3.812411537,,,,,,,,,,,,,,,,,,,,,,,,,
Maylandia,Benthic,May_B,2wk,May_B2,10,1742.341,1397.804,1078.762,1122.062,122.147,-7.278228995,61.81311173,-0.513738953,,Fixed LINK,,,,,,,,,,,,,,,,,,,,,,,
Maylandia,Benthic,May_B,2wk,May_B2,11,2411.099,1923.305,1479.032,1524.651,200.01,-61.15027863,-5.403254691,18.56136177,,Slopes (pvalue),,May:Tro,May:Lab,Tro:Lab,,,,,,,,,,,,,,,,,,,
Maylandia,Benthic,May_B,2wk,May_B2,12,2240.273,1783.795,1340.521,1445.061,199.65,-83.65628165,35.01274378,33.21800708,,,Pelagic,0.695,0.0031,0.0184,,,,,,,,,,,,,,,,,,,
Maylandia,Benthic,May_B,2wk,May_B2,13,1764.763,1402.994,1089.058,1100.685,150.851,-12.20862335,24.68456045,26.21923075,,,Benthic,0.0891,0.4209,0.0008,,,,,,,,,,,,,,,,,,,
Maylandia,Pelagic,May_P,2wk,May_P2,8,1554.169,1212.221,884.382,976.592,97.098,-73.87386191,48.53474967,-9.021274653,,,,Maylandia,Tropheops,Labeotropheus,,,,,,,,,,,,,,,,,,,
Maylandia,Pelagic,May_P,2wk,May_P2,9,2067.694,1710.104,1331.521,1414.816,158.202,24.53914747,126.0052323,6.940751755,,,Ben:Pel,0.0124,0.954,0.8533,,,,,,,,,,,,,,,,,,,
Maylandia,Pelagic,May_P,2wk,May_P2,10,1861.236,1519.31,1124.856,1233.288,94.34,-41.92377752,89.51486373,-38.77233323,,,,,,,,,,,,,,,,,,,,,,,,,
Maylandia,Pelagic,May_P,2wk,May_P2,11,1988.772,1595.657,1207.107,1263.652,134,-46.28028044,30.28427614,-10.32352401,,,,,,,,,,,,,,,,,,,,,,,,,
Maylandia,Pelagic,May_P,2wk,May_P2,12,1930.303,1552.899,1212.345,1230.787,138.058,-1.336988694,38.49399968,-1.125742975,,,,,,,,,,,,,,,,,,,,,,,,,
Maylandia,Pelagic,May_P,2wk,May_P2,13,2021.864,1678.03,1249.643,1333.37,153.375,-26.21648819,76.75500405,6.142487746,,,,,,,,,,,,,,,,,,,,,,,,,
Tropheops,Benthic,Tro_B,2wk,Tro_B2,8,1481.173,1115.104,923.569,874.057,108.296,14.88346556,-2.720246908,8.593518112,,,,,,,,,,,,,,,,,,,,,,,,,
Tropheops,Benthic,Tro_B,2wk,Tro_B2,9,2137.652,1654.323,1416.193,1280.006,140.357,61.70387352,-57.9505631,-17.05398232,,,,,,,,,,,,,,,,,,,,,,,,,
Tropheops,Benthic,Tro_B,2wk,Tro_B2,10,1955.057,1478.438,1279.026,1170.015,148.486,48.53399588,-39.6677916,7.126229735,,,,,,,,,,,,,,,,,,,,,,,,,
Tropheops,Benthic,Tro_B,2wk,Tro_B2,11,1931.082,1460.564,1242.204,1118.458,150.12,27.99300581,-74.38225116,10.86777818,,,,,,,,,,,,,,,,,,,,,,,,,
Tropheops,Benthic,Tro_B,2wk,Tro_B2,12,2197.651,1691.112,1460.144,1250.577,186.269,64.9105851,-129.5291182,23.58374034,,,,,,,,,,,,,,,,,,,,,,,,,
Tropheops,Benthic,Tro_B,2wk,Tro_B2,13,1851.025,1410.028,1198.853,1109.315,134.729,39.00733687,-27.28486493,2.514275831,,,,,,,,,,,,,,,,,,,,,,,,,
Tropheops,Benthic,Tro_B,2wk,Tro_B2,14,1826.421,1383.59,1171.56,1046.323,135.484,28.42248988,-72.99244928,5.432117208,,,,,,,,,,,,,,,,,,,,,,,,,
Tropheops,Pelagic,Tro_P,2wk,Tro_P2,10,1624.351,1248.618,1023.299,952.019,100.18,17.3837496,-25.34140667,-12.10869969,,,,,,,,,,,,,,,,,,,,,,,,,
Tropheops,Pelagic,Tro_P,2wk,Tro_P2,11,1865.221,1444.936,1237.304,1100.656,130.015,67.81807756,-45.91661588,-3.447638987,,,,,,,,,,,,,,,,,,,,,,,,,
Tropheops,Pelagic,Tro_P,2wk,Tro_P2,12,2015.232,1542.064,1330.06,1145.7,158.24,58.70418889,-106.2559875,11.59048092,,,,,,,,,,,,,,,,,,,,,,,,,
Tropheops,Pelagic,Tro_P,2wk,Tro_P2,13,2146.554,1689.025,1464.374,1278.565,140,103.8396785,-65.64525633,-18.19352231,,,,,,,,,,,,,,,,,,,,,,,,,
Tropheops,Pelagic,Tro_P,2wk,Tro_P2,14,1775.285,1374.33,1145.008,1061.49,140.186,36.59606751,-21.90218972,14.6292829,,,,,,,,,,,,,,,,,,,,,,,,,
Tropheops,Pelagic,Tro_P,2wk,Tro_P2,15,1776.563,1338.208,1116.487,982.073,140.428,7.207199707,-102.2169902,14.75893892,,,,,,,,,,,,,,,,,,,,,,,,,
Tropheops,Pelagic,Tro_P,2wk,Tro_P2,16,1912.361,1431.899,1242.702,1066.433,129.12,41.20411476,-113.2556683,-8.486531953,,,,,,,,,,,,,,,,,,,,,,,,,
Tropheops,Pelagic,Tro_P,2wk,Tro_P2,17,1650.761,1272.993,1060.002,998.513,109.836,36.15217307,2.599454939,-4.774299458,,,,,,,,,,,,,,,,,,,,,,,,,
Maylandia,Benthic,May_B,4wk,May_B4,14,1994.049,1647.116,1259.074,1300.006,142.338,2.103199665,62.93116098,-2.44940443,,,,,,,,,,,,,,,,,,,,,,,,,
Maylandia,Benthic,May_B,4wk,May_B4,15,1511.693,1234.058,945.016,992.502,150.546,15.60485875,94.28432205,48.16062432,,,,,,,,,,,,,,,,,,,,,,,,,
Maylandia,Benthic,May_B,4wk,May_B4,16,2076.784,1687.319,1343.503,1314.085,150,30.34828489,18.88846824,-2.060314581,,,,,,,,,,,,,,,,,,,,,,,,,
Maylandia,Benthic,May_B,4wk,May_B4,17,1828.438,1463.421,1148.651,1240.537,126.649,4.143779886,119.8045996,-3.58018937,,,,,,,,,,,,,,,,,,,,,,,,,
Maylandia,Benthic,May_B,4wk,May_B4,18,2124.626,1735.6,1464.199,1512.826,192.26,118.555606,184.0202578,35.99408238,,,,,,,,,,,,,,,,,,,,,,,,,
Maylandia,Benthic,May_B,4wk,May_B4,19,1731.101,1364.734,1018.725,1078.97,136.059,-59.68233842,26.61725999,14.38632547,,,,,,,,,,,,,,,,,,,,,,,,,
Maylandia,Benthic,May_B,4wk,May_B4,20,2035.369,1679.498,1315.587,1316.761,150.333,30.55649871,50.65868356,1.913316034,,,,,,,,,,,,,,,,,,,,,,,,,
Maylandia,Pelagic,May_P,4wk,May_P4,14,2386.684,1934.19,1512.118,1629.588,198.917,-11.48447227,116.6853876,19.6145889,,,,,,,,,,,,,,,,,,,,,,,,,
Maylandia,Pelagic,May_P,4wk,May_P4,15,2243.202,1861.437,1384.204,1559.736,160.312,-41.96231514,147.6301087,-6.377469853,,,,,,,,,,,,,,,,,,,,,,,,,
Maylandia,Pelagic,May_P,4wk,May_P4,16,2132.934,1710.15,1229.328,1473.452,166.108,-121.9572139,138.8098522,9.111758605,,,,,,,,,,,,,,,,,,,,,,,,,
Maylandia,Pelagic,May_P,4wk,May_P4,17,1895.7,1494.376,1086.965,1219.167,117.644,-103.2186869,51.18275576,-18.49792863,,,,,,,,,,,,,,,,,,,,,,,,,
Maylandia,Pelagic,May_P,4wk,May_P4,18,2205.83,1793.243,1355.383,1502.819,164.012,-45.40463305,116.9670992,0.60775645,,,,,,,,,,,,,,,,,,,,,,,,,
Maylandia,Pelagic,May_P,4wk,May_P4,19,2033.131,1670.174,1301.648,1352.645,156.78,18.137286,88.11488817,8.557049858,,,,,,,,,,,,,,,,,,,,,,,,,
Tropheops,Benthic,Tro_B,4wk,Tro_B4,15,2232.796,1718.4,1473.879,1379.88,151.908,54.77922039,-24.91563162,-13.86671911,,,,,,,,,,,,,,,,,,,,,,,,,
Tropheops,Benthic,Tro_B,4wk,Tro_B4,16,1949.376,1492.977,1314.067,1198.521,153.883,87.43286522,-7.170864711,13.02262422,,,,,,,,,,,,,,,,,,,,,,,,,
Tropheops,Benthic,Tro_B,4wk,Tro_B4,17,1608.951,1187.053,986.586,931.442,120.15,-8.871375406,-35.09984054,9.215054061,,,,,,,,,,,,,,,,,,,,,,,,,
