Species,Time,Treatment,kiaa0586,actr6,asb5,sp7,capn1,gnmt,cdc20,ptch1,notch1a,opg,rankl,rankl_opg,,,
TO,4wk,Pelagic,0.0000146,0.001923786,,0.000453559,0.000171256,0.005393678,,0.000685042,,0.001000047,,,,,
TO,4wk,Pelagic,0.0000139,0.006682137,,0.000301559,0.000184083,0.005557627,,0.000513686,,0.002131035,,,,,
TO,4wk,Pelagic,0.0000424,0.010701368,,0.000221384,0.000244875,0.00720986,,0.000482859,,0.002184861,,,,,
TO,4wk,Pelagic,0.0000372,0.005068442,,0.000294645,0.000312299,,,0.000487255,,0.002828113,,,,,
TO,8wk,Benthic,0.00000952,0.001376078,0,0.00016342,0.000258155,1.68E-05,0,0.00209416,7.96E-06,0.001531166,9.90E-05,3.12E-02,,,
TO,8wk,Benthic,0.0000441,0.001542635,0,0.000199985,0.000428153,9.15E-05,0,0.002325309,4.01E-06,0.002310289,5.26E-05,3.89E-02,,,
TO,8wk,Benthic,0.0000348,0.001732081,0,0.000147509,0.00045666,0.00019585,0,0.002116146,3.78E-05,0.002112425,1.28E-05,1.08E-02,,,
TO,8wk,Benthic,0.0000295,0.001844079,0,0.000363478,0.001761767,0.000379298,0,0.001755312,1.46E-05,0.001202178,7.35E-05,1.14E-01,,,
TO,8wk,Benthic,0.0000686,0.0019227,0,0.000494208,0.001843058,0.000832011,0,0.001846073,1.79E-05,0.001853859,5.59E-05,1.73E-02,,,
TO,8wk,Benthic,0.0000534,0.001758748,0,0.000137799,0.001603293,0.000971822,0,0.001767601,1.23E-05,0.001820652,4.62E-05,,,,
TO,8wk,Benthic,0.0000364,0.002382636,0,0.000487887,0.000935278,4.19E-05,0,0.002897062,9.13E-06,0.002330328,3.59E-05,,,,
TO,8wk,Benthic,0.0000618,0.002341972,0,0.000482,0.001144294,0.000372961,0,0.003088417,1.20E-05,0.003669177,3.25E-05,,,,
TO,8wk,Benthic,0.0000619,0.001871011,0,0.00006863,0.001295756,0.000146469,0,0.003179391,8.08E-05,0.003161768,2.60E-05,,,,
TO,8wk,Benthic,0.0000346,0.001465429,0,0.000707857,0.001511072,0.00980461,0,0.001861771,6.16E-05,0.000492408,0.000135945,,,,
TO,8wk,Benthic,0.0000428,0.001336745,0,0.000676624,0.001864872,0.009624657,0,0.001781186,4.57E-05,0.002565533,9.13E-05,,,,
TO,8wk,Benthic,0.000042,0.001364061,0,0.0003894,0.001324776,0.010888836,0,0.001837584,2.74E-06,0.002157315,6.43E-05,,,,
TO,8wk,Benthic,0.0000123,0.001182695,0,0.000883875,0.00084851,0.004160792,0,0.001461522,2.16E-06,0.001267869,2.59E-05,,,,
TO,8wk,Benthic,0.000015569,0.001045833,0,0.000174655,0.000456024,0.00403681,0,0.00161232,,0.001715955,2.59E-05,,,,
TO,8wk,Benthic,,0.001143555,0,1.80E-05,0.000492167,0.003159841,0,0.001558041,,0.00161642,2.63E-05,,,,
TO,8wk,Benthic,,0.001105127,0,1.14E-05,2.92E-05,1.29E-06,0,,,,,,,,
TO,8wk,Benthic,,0.000980951,0,1.34E-05,4.51E-05,1.38E-06,0,,,,,,,,
TO,8wk,Benthic,,0.001113438,0,,,1.58E-06,0,,,,,,,,
TO,8wk,Pelagic,4.44E-06,0.002288514,0,9.65E-05,0.000608307,0.000169263,0,0.00285846,4.64E-05,0.002128017,1.80E-05,7.30E-03,,,
TO,8wk,Pelagic,2.60E-05,0.002486796,0,0.000428327,0.000697096,0.000103007,0,0.003039887,4.79E-05,0.002109794,1.30E-05,2.97E-02,,,
TO,8wk,Pelagic,0.000029309,0.002500397,0,0.00045869,0.000642148,6.68E-05,0,0.003044944,1.89E-05,0.002556518,3.79E-05,6.05E-02,,,
TO,8wk,Pelagic,1.17E-05,0.000952923,0,0.000194985,0.001126477,0.000486216,0,0.000818913,2.08E-05,0.0010299,2.62E-05,5.97E-02,,,
TO,8wk,Pelagic,1.35E-05,0.000894292,0,0.000103759,0.00100047,0.00046241,0,0.000796702,0.000131141,0.00115641,8.95E-05,3.58E-02,,,
TO,8wk,Pelagic,1.58E-05,0.000890716,0,0.000281454,0.000982097,6.50E-05,0,0.000903838,0.000154481,0.00105818,7.01E-05,3.45E-02,,,
TO,8wk,Pelagic,1.27E-05,0.000968621,0,0.000207579,0.000410584,5.44E-05,0,0.000655691,3.18E-05,0.001242232,5.66E-05,,,,
TO,8wk,Pelagic,1.76E-05,0.00105797,0,0.00032886,0.000495473,4.87E-05,0,0.000627304,2.20E-05,0.00143319,6.58E-05,,,,
TO,8wk,Pelagic,0.000014458,0.000962895,0,0.000358144,0.000417034,0.001662981,0,0.000666061,1.80E-05,0.00136142,7.11E-05,,,,
TO,8wk,Pelagic,9.27E-06,0.001224012,0,0.00023531,0.000748331,0.001403162,0,0.000657734,1.61E-05,0.001067455,6.79E-05,,,,
TO,8wk,Pelagic,2.22E-05,0.001153102,0,0.000419848,0.000672655,0.001204865,0,0.000723625,5.62E-05,0.000991054,6.74E-05,,,,
TO,8wk,Pelagic,1.34E-05,0.001132363,0,0.000473282,0.000624348,0.001055416,0,0.000672206,5.89E-05,0.001052851,7.60E-05,,,,
TO,8wk,Pelagic,8.19E-06,0.000600589,0,1.72E-06,0.00073394,0.00105991,0,0.000554687,,0.001927272,,,,,
TO,8wk,Pelagic,1.50E-05,0.000575707,0,0.000260901,0.000558297,0.001096487,0,0.000646784,,0.001962592,,,,,
TO,8wk,Pelagic,8.40E-06,0.000673753,0,0.00018977,0.000774155,0.000918175,0,0.00063269,,0.002219904,,,,,
TO,8wk,Pelagic,1.19E-05,0.00035947,0,0.000605232,0.001235739,0.000768559,0,0.000332552,,0.002108935,,,,,
TO,8wk,Pelagic,4.72E-06,0.000280757,0,0.000972989,0.001187326,,0,0.00031334,,0.002049102,,,,,
TO,8wk,Pelagic,7.35E-06,0.000420572,0,0.000842836,0.001213253,,0,0.000401291,,0.002026888,,,,,
LF,1wk,Benthic,2.14E-05,0.002154027,1.21E-06,0.000508135,4.80E-06,0.002417587,,1.51E-03,0.000311632,6.65E-06,0,,,,
LF,1wk,Benthic,8.05E-05,0.00226172,1.19E-05,0.000529853,2.46E-05,0.003389553,,1.61E-03,0.000378258,4.57E-06,0,,,,
LF,1wk,Benthic,4.92E-05,0.002286617,6.85E-06,0.000610545,3.91E-05,0.003455765,,7.67E-04,0.000208638,2.58E-06,0,,,,
LF,1wk,Benthic,7.39E-05,0.002364732,1.21E-05,0.000784796,0.000126579,0.023093809,,7.01E-02,0.021671061,1.38E-05,0,,,,
LF,1wk,Benthic,0.000118884,0.002179136,1.43E-05,0.000447236,0.000109494,0.023836036,,7.85E-02,0.021683974,9.28E-06,0,,,,
LF,1wk,Benthic,7.54E-05,0.002064804,7.87E-06,0.000173719,1.30E-05,0.025669883,,9.47E-02,0.018718268,,0,,,,
LF,1wk,Benthic,5.46E-05,0.001316401,1.72E-05,0.001013235,1.67E-05,0.004898229,,1.52E-03,0.000721265,,,,,,
LF,1wk,Benthic,4.60E-05,0.001980334,2.26E-05,0.000906301,2.28E-05,0.005192757,,1.77E-03,0.000668281,,,,,,
LF,1wk,Benthic,3.29E-05,0.001920086,3.08E-05,0.000883214,1.24E-05,0.005302029,,1.71E-03,0.000466302,,,,,,
LF,1wk,Benthic,3.52E-05,0.001899882,3.02E-07,0.001900574,1.87E-05,0.004221666,,1.79E-03,0.000430113,,,,,,
LF,1wk,Benthic,3.87E-05,0.001702417,7.51E-07,0.00171571,3.38E-05,0.004051004,,1.89E-03,0.000346068,,,,,,
LF,1wk,Benthic,4.22E-05,0.001641236,,0.000834172,7.67E-05,0.004179612,,1.84E-03,0.000349885,,,,,,
LF,1wk,Benthic,4.34E-05,0.001783682,,0.001233795,0.00017434,0.005728827,,,,,,,,,
LF,1wk,Benthic,4.65E-05,0.001724785,,0.001000939,0.000269501,0.006022749,,,,,,,,,
LF,1wk,Benthic,1.05E-05,0.001709815,,0.00089555,1.41E-05,0.006394736,,,,,,,,,
LF,1wk,Benthic,2.36E-05,0.001000188,,0.000198929,6.23E-05,0.003744108,,,,,,,,,
LF,1wk,Benthic,4.63E-05,0.001348974,,0.000160712,6.78E-05,0.005229328,,,,,,,,,
LF,1wk,Benthic,,0.0013968,,7.92E-05,,0.005296226,,,,,,,,,
LF,1wk,Pelagic,1.48E-05,0.002712304,1.23E-06,0.001000145,0.000443829,0.008449011,,0.004634073,0.000190206,9.15E-06,0,,,,
LF,1wk,Pelagic,2.55E-05,0.002664237,1.19E-06,0.000818199,0.000698707,0.008619361,,0.004478583,0.000145714,8.77E-06,0,,,,
LF,1wk,Pelagic,3.40E-05,0.002679172,1.22E-06,0.000733489,0.000609678,0.008471697,,0.004378497,0.000241674,1.05E-05,0,,,,
LF,1wk,Pelagic,1.26E-05,0.001960386,3.05E-06,0.000779201,0.000105254,0.00699507,,0.005042066,0.000227772,1.33E-05,0,,,,
LF,1wk,Pelagic,2.36E-05,0.001830393,3.11E-06,0.000194494,0.000415365,0.007641642,,0.00391779,0.000409391,1.15E-05,0,,,,
LF,1wk,Pelagic,2.36E-05,0.001937774,6.20E-06,0.000470642,0.000282504,0.007306851,,0.004196079,0.0004035,7.57E-06,0,,,,
LF,1wk,Pelagic,3.01E-05,0.001398875,6.63E-06,0.000691814,1.74E-05,0.005258508,,0.002395693,0.006578909,8.19E-06,0,,,,
LF,1wk,Pelagic,2.55E-05,0.001715968,6.75E-06,0.000252084,2.49E-05,0.005085363,,0.002596308,0.003743999,6.65E-06,0,,,,
LF,1wk,Pelagic,2.57E-05,0.001670635,4.42E-05,0.001290205,2.64E-05,0.005526222,,0.00251712,0.00029695,2.63E-07,0,,,,
LF,1wk,Pelagic,2.71E-05,0.003454337,2.76E-05,0.003359737,2.11E-05,0.026345908,,0.012971808,0.000343286,3.35E-06,0,,,,
LF,1wk,Pelagic,9.79E-05,0.003192896,1.91E-05,0.000758408,3.14E-05,0.046414588,,0.01214394,,2.92E-06,0,,,,
LF,1wk,Pelagic,9.98E-05,0.002768459,,0.001740568,1.61E-05,0.042159872,,0.008818567,,,,,,,
LF,1wk,Pelagic,1.14E-05,0.001026847,,0.000919676,,0.009632345,,0.001255595,,,,,,,
LF,1wk,Pelagic,8.37E-06,0.001262596,,0.00034921,,0.012576546,,0.00136258,,,,,,,
LF,1wk,Pelagic,1.93E-05,0.001020293,,0.000828701,,0.0116193,,0.001187813,,,,,,,
LF,1wk,Pelagic,,,,0.0008489,,0.00363536,,,,,,,,,
LF,1wk,Pelagic,,,,0.000340006,,0.00389346,,,,,,,,,
LF,1wk,Pelagic,,,,,,0.004121643,,,,,,,,,
LF,2wk,Benthic,3.46E-06,0.002037355,,0.000418276,3.85E-06,0.002891969,0,0.00104205,8.47E-05,1.14E-06,0,0,,,
LF,2wk,Benthic,1.26E-05,0.002109094,,0.00033114,2.48E-06,0.004281263,0,0.001199735,4.48E-05,5.59E-07,0,0,,,
LF,2wk,Benthic,1.97E-05,0.002272534,,0.000447726,4.02E-06,0.004169338,0,0.001227946,3.65E-05,1.02E-06,0,0,,,
LF,2wk,Benthic,3.14E-06,0.001565872,,0.000138738,3.36E-05,0.002272773,0,0.001128215,1.59E-05,0,0,,,,
LF,2wk,Benthic,1.01E-05,0.001570713,,0.000111129,7.16E-05,0.002588281,0,0.001318511,8.93E-06,0,0,,,,
LF,2wk,Benthic,7.64E-06,0.001572006,,0.000138229,6.30E-05,0.002477342,0,0.001249457,7.97E-06,9.24E-07,0,,,,
LF,2wk,Benthic,8.60E-06,0.001114253,,0.00038879,3.08E-05,0.002591416,0,0.000490507,0.000144651,1.02E-06,0,,,,
LF,2wk,Benthic,1.13E-05,0.001218792,,0.000339564,5.78E-05,0.00272133,0,0.000514412,0.000125102,,0,,,,
LF,2wk,Benthic,1.27E-05,0.001104109,,0.000296904,5.81E-05,0.002756854,0,0.000513347,0.000134178,,0,,,,
LF,2wk,Benthic,6.25E-06,0.001000009,,0.000664138,3.88E-05,0.002285302,0,0.00038238,0.000147587,,0,,,,
LF,2wk,Benthic,1.08E-05,0.001122538,,0.00055568,4.61E-05,0.00263127,0,0.000359206,0.000117984,,0,,,,
LF,2wk,Benthic,9.24E-06,0.001024121,,0.000590275,6.66E-05,0.002703532,,0.000382511,6.01E-05,,0,,,,
LF,2wk,Benthic,3.56E-06,0.000681331,,0.000370971,8.20E-05,0.002054933,,0.000422386,5.06E-05,,0,,,,
LF,2wk,Benthic,6.97E-06,0.000693631,,0.000382704,0.000130219,0.00255237,,0.000399817,3.40E-05,,0,,,,
LF,2wk,Benthic,2.82E-06,0.000719218,,0.000363037,0.00010742,0.002690728,,0.000412308,,,0,,,,
LF,2wk,Pelagic,2.82E-05,0.00113857,,0.001791164,1.75E-06,0.005716009,0,0.00147508,0.000246275,2.09E-06,0,0,,,
LF,2wk,Pelagic,2.41E-05,0.001130758,,0.000905666,4.01E-06,0.006299602,0,0.001435481,0.000180653,9.06E-07,0,0,,,
LF,2wk,Pelagic,3.50E-05,0.001269464,,0.00129486,1.74E-06,0.006066563,0,0.001475625,0.000165281,0,0,0,,,
LF,2wk,Pelagic,5.83E-05,0.001470902,,0.001248832,0.000188956,0.006441268,0,0.001689547,0.000128686,0,0,,,,
LF,2wk,Pelagic,6.81E-05,0.001306603,,0.001134816,0.000393852,0.007325024,0,0.001916564,0.000274891,0,0,,,,
LF,2wk,Pelagic,3.81E-05,0.001330731,,0.001160859,0.000414751,0.007056119,0,0.001893206,0.000152985,0,0,,,,
LF,2wk,Pelagic,7.76E-05,0.001537344,,0.001985592,0.000563277,0.0048771,0,0.001950831,2.36E-05,0,0,,,,
LF,2wk,Pelagic,7.88E-05,0.00150683,,0.001992763,0.00089,0.005199433,0,0.001940955,1.50E-05,0,0,,,,
LF,2wk,Pelagic,0.00011375,0.001439452,,0.001791197,0.000653531,0.005275299,0,0.00211856,0.000411603,1.47E-06,0,,,,
LF,2wk,Pelagic,4.54E-05,0.001867876,,0.000705494,0.000175156,0.005852282,0,0.00347169,0.000267696,1.17E-06,0,,,,
LF,2wk,Pelagic,1.66E-05,0.001746348,,0.000148922,0.000188001,0.00802379,0,0.003692869,,9.15E-07,0,,,,
LF,2wk,Pelagic,3.72E-05,0.001498497,,0.000368865,0.00010319,0.007583795,0,0.00362003,,,0,,,,
LF,2wk,Pelagic,5.50E-05,0.002181479,,0.001099284,0.000258253,0.005859462,0,0.000957162,,,,,,,
LF,2wk,Pelagic,6.44E-05,0.001913773,,0.000716257,0.0001911,0.006910623,0,0.001131024,,,,,,,
LF,2wk,Pelagic,2.20E-05,0.002011928,,0.000705915,1.90E-05,0.007308374,0,0.001078832,,,,,,,
LF,2wk,Pelagic,4.74E-05,0.000899825,,0.003057457,8.38E-06,0.003805316,,,,,,,,,
LF,2wk,Pelagic,,0.000971953,,0.00308311,,0.004157695,,,,,,,,,
LF,2wk,Pelagic,,0.000906884,,0.002992766,,0.003755709,,,,,,,,,
LF,4wk,Benthic,1.34E-05,0.001265029,6.62E-07,0.003420496,0.000141518,0.005396732,1.83E-05,0.001567917,0.000137454,0.000621404,0.000299239,0.525299785,,,
LF,4wk,Benthic,3.11E-05,0.001559394,1.44E-06,0.003669996,0.000225568,0.005532537,1.46E-05,0.003393868,0.000124502,0.000697148,0.000402899,,,,
LF,4wk,Benthic,3.19E-05,0.001360478,1.97E-06,0.002128313,0.00022319,0.005519508,5.52E-06,0.003106746,0.000102826,0.000708025,,,,,
LF,4wk,Benthic,2.57E-05,0.000743121,0.000238441,0.003631129,0.000118144,0.005033766,,0.001582114,0.000565962,,,,,,
LF,4wk,Benthic,2.88E-05,0.000714527,0.000261349,0.003838527,0.000180552,0.002985422,,0.001855827,0.000671909,,,,,,
LF,4wk,Benthic,3.81E-05,0.000752077,0.000305872,0.002015746,0.00020076,0.005701611,,0.001622309,0.000602341,,,,,,
LF,4wk,Pelagic,1.44E-05,0.001298871,3.34E-05,0.000995975,4.66E-05,0.00355548,5.47E-05,0.003304286,0.000235097,4.82E-05,0,0.765303981,,,
LF,4wk,Pelagic,1.94E-05,0.001310054,3.05E-05,0.000918997,3.59E-05,0.006457063,3.82E-05,0.00316248,0.000189145,4.59E-05,0,0,,,
LF,4wk,Pelagic,2.02E-05,0.001184856,3.89E-05,0.000859684,5.86E-05,0.007041112,1.79E-05,0.003181432,0.000473379,3.99E-05,0,0.158325879,,,
LF,4wk,Pelagic,4.11E-05,0.00087551,0.000809445,0.002186784,2.14E-05,0.004885909,3.81E-06,0.001453074,0.000398933,0.000425826,0.000354663,0.004655597,,,
LF,4wk,Pelagic,3.17E-05,0.000905021,0.000902632,0.002273162,5.23E-06,0.005160405,2.68E-06,0.001616929,0.000365143,0.000467483,0.000395632,,,,
LF,4wk,Pelagic,3.83E-05,0.000774098,0.000928657,0.002269291,1.37E-05,0.005254056,7.31E-06,0.001632877,0.000287845,0.000479849,0.000295935,,,,
LF,4wk,Pelagic,1.59E-05,0.001079634,6.55E-05,0.001571211,4.08E-06,0.003865386,4.82E-06,0.001380647,0.000292522,4.85E-06,0,,,,
LF,4wk,Pelagic,2.74E-05,0.001078694,9.16E-05,0.001266572,3.21E-06,0.004568093,1.46E-05,0.001460097,0.00023222,5.33E-06,0,,,,
LF,4wk,Pelagic,2.24E-05,0.000965561,8.05E-05,0.001213029,5.63E-06,0.003988408,1.80E-05,0.001428524,0.000250259,4.10E-06,0,,,,
LF,4wk,Pelagic,1.37E-05,0.000849477,0.000151511,0.001700231,5.35E-06,0.003066259,1.39E-05,0.000982177,0.000163536,0.000194612,2.26E-05,,,,
LF,4wk,Pelagic,1.87E-05,0.000904062,0.000203155,0.0017737,7.85E-06,0.003031093,,0.000815044,0.000393189,0.000188657,3.53E-05,,,,
LF,4wk,Pelagic,1.85E-05,0.000913815,0.000212095,0.001240275,1.09E-05,0.003245716,,0.000998512,0.000501423,0.000168869,2.90E-05,,,,
LF,4wk,Pelagic,2.37E-05,0.000651022,0.000306504,0.002180717,4.08E-05,0.005013489,,0.000920533,0.000326013,9.80E-05,6.69E-07,,,,
LF,4wk,Pelagic,1.83E-05,0.000641363,0.000326509,0.00219773,5.19E-05,0.002737675,,0.000765688,,0.000124838,3.10E-07,,,,
LF,4wk,Pelagic,9.50E-06,0.000708958,0.000338598,0.002246216,3.00E-05,0.005319541,,0.000749386,,0.00012452,,,,,
LF,8wk,Benthic,1.44E-05,0.000776661,7.33E-06,0.001076656,6.39E-05,0.006581719,8.14E-07,0.000957339,8.17E-05,2.52E-06,0,0,,,
LF,8wk,Benthic,2.59E-05,0.000759501,1.09E-05,0.001171221,0.000125207,0.006909197,6.37E-07,0.001003595,7.84E-05,2.34E-06,0,0,,,
LF,8wk,Benthic,2.06E-05,0.000840999,9.14E-06,0.001127304,0.000139659,0.006949126,1.30E-05,0.001006912,9.51E-05,3.36E-06,0,0.109232207,,,
LF,8wk,Benthic,2.26E-05,0.00068404,0.000252582,0.001697692,3.79E-06,0.006562976,7.47E-06,0.000496066,0.000495696,3.47E-05,0,,,,
LF,8wk,Benthic,1.90E-05,0.0006661,0.000257559,0.001922568,2.55E-06,0.006441711,3.11E-06,0.000497421,0.000428374,3.53E-05,0,,,,
LF,8wk,Benthic,1.96E-05,0.000641135,0.000273341,0.001800034,0.00019011,0.006780518,9.71E-06,0.000485954,0.000401679,3.94E-05,0,,,,
LF,8wk,Benthic,3.20E-05,0.000580413,0.000208498,0.001409193,0.000204445,0.002488216,1.21E-05,0.000548646,0.000326653,4.45E-05,1.91E-05,,,,
LF,8wk,Benthic,2.81E-05,0.000598476,0.000222762,0.001581485,0.000192457,0.004055704,3.77E-06,0.000575588,0.000302128,0.000110267,1.55E-05,,,,
LF,8wk,Benthic,2.36E-05,0.000581144,0.000439843,0.001462378,0.000103973,0.004415278,1.71E-05,0.0005423,0.000296492,9.80E-05,2.40E-05,,,,
LF,8wk,Benthic,1.79E-05,0.000725062,0.00070791,0.002293374,0.000104632,0.005464866,2.14E-05,0.000587319,0.000748925,7.13E-05,,,,,
LF,8wk,Benthic,1.75E-05,0.000739732,0.000666179,0.002293698,9.90E-05,0.005875803,6.88E-06,0.000631742,0.000700534,0.000203465,,,,,
LF,8wk,Benthic,2.16E-05,0.000718604,0.000390735,0.002206334,6.46E-06,0.005876123,3.11E-05,0.000672302,0.000666834,0.000173542,,,,,
LF,8wk,Benthic,3.06E-05,0.000698984,0.000444469,0.001211455,5.12E-06,0.006481933,3.24E-05,0.000575719,0.000620166,0.000184723,,,,,
LF,8wk,Benthic,3.16E-05,0.000740188,0.000425015,0.001539266,5.77E-06,0.006912608,,0.000583273,0.000615638,0.000181422,,,,,
LF,8wk,Benthic,3.20E-05,0.000688059,,0.001526873,,0.006826399,,0.000592622,0.000669633,0.000172446,,,,,
LF,8wk,Pelagic,1.42E-05,0.001320017,6.45E-06,0.00032695,4.20E-06,0.004041139,,0.001332446,7.88E-05,3.13E-06,0,0,,,
LF,8wk,Pelagic,1.65E-05,0.001243184,1.28E-05,0.000340505,6.89E-06,0.004181392,,0.001414259,9.12E-05,3.41E-06,0,0.066964454,,,
LF,8wk,Pelagic,2.04E-05,0.001297574,6.21E-06,0.000239768,6.55E-06,0.004189187,,0.001394409,4.22E-05,3.65E-06,0,0.005852573,,,
LF,8wk,Pelagic,3.26E-05,0.000918704,0.000349703,0.00172151,0.000153863,0.002664585,4.44E-06,0.00115694,0.000389934,0.001758116,0.000150964,0.225156653,,,
LF,8wk,Pelagic,3.22E-05,0.000919399,0.000369548,0.00196902,0.000125154,0.002591902,5.44E-06,0.001150641,0.000398339,0.001834717,0.000133655,,,,
LF,8wk,Pelagic,3.16E-05,0.000875517,0.000437878,0.001868093,0.000142462,0.002767778,2.16E-06,0.001183952,0.000225879,0.00202731,8.55E-05,,,,
LF,8wk,Pelagic,1.71E-05,0.001038178,3.53E-05,0.001138202,0.000276521,0.004336722,1.74E-06,0.000792671,0.000190393,0.000193129,9.93E-07,,,,
LF,8wk,Pelagic,2.30E-05,0.001078864,3.71E-05,0.001167108,0.000322408,0.003511507,3.45E-06,0.000907732,0.000220866,0.000187238,8.86E-07,,,,
LF,8wk,Pelagic,1.94E-05,0.001097099,6.83E-05,0.001018227,0.000314988,0.004419899,4.93E-05,0.000948645,0.000125263,0.000203181,1.56E-06,,,,
LF,8wk,Pelagic,1.14E-05,0.001015342,6.92E-06,0.000469494,5.14E-06,0.002570742,2.30E-05,0.000668242,0.000756438,0.001913054,0.000461269,,,,
LF,8wk,Pelagic,1.10E-05,0.000978322,1.77E-05,0.000588065,2.73E-06,0.002659793,2.13E-05,0.000764781,0.000735187,0.001890511,0.000442465,,,,
LF,8wk,Pelagic,1.24E-05,0.000973224,1.30E-05,0.000633422,5.62E-06,0.002630915,,0.000668345,0.000657592,0.002098364,0.000420319,,,,
LF,8wk,Pelagic,1.16E-05,0.000886616,0.000233349,0.001510668,8.97E-05,0.003272872,,,,,,,,,
LF,8wk,Pelagic,2.21E-05,0.000853413,0.000340869,0.001550603,8.67E-05,0.003441234,,,,,,,,,
LF,8wk,Pelagic,2.00E-05,0.000840721,0.000392578,0.001558066,9.19E-05,0.003470409,,,,,,,,,